monastery,location,wikidata_entry
Augustinereremitenkloster Bettbrunn,Point(11.5557 48.8729),http://www.wikidata.org/entity/Q1719567
Augustinereremitenkloster Osnabrück,Point(8.04958333 52.27263889),http://www.wikidata.org/entity/Q15106959
Augustinereremitenkloster Herford,Point(8.674816 52.114595),http://www.wikidata.org/entity/Q15106958
"Augustinereremitenkloster zum Erlöser, Alsfeld",Point(9.27 50.7497),http://www.wikidata.org/entity/Q15117133
Augustinerchorfrauenstift Fraulautern,Point(6.76314 49.323),http://www.wikidata.org/entity/Q14906209
Augustinerchorherrenstift Wittenburg,Point(9.70614 52.1416),http://www.wikidata.org/entity/Q14321160
Augustinerchorherrenstift Waldsee,Point(9.75252271 47.92128895),http://www.wikidata.org/entity/Q15117351
Augustinerchorfrauenstift Marienburg an der Mosel,Point(7.1760277 50.0285274),http://www.wikidata.org/entity/Q97579516
Augustinerchorfrauenstift Martental bei Cochem,Point(7.088728 50.207708),http://www.wikidata.org/entity/Q97579639
"Augustinereremitenkloster St. Augustinus, Magdeburg",Point(11.646506 52.134148),http://www.wikidata.org/entity/Q97593016
Augustinerinnenkloster Eldagsen (Marienthal),Point(9.660893 52.170648),http://www.wikidata.org/entity/Q28979078
Augustinereremitenkloster Herzberg an der Elster,Point(13.235003 51.693769),http://www.wikidata.org/entity/Q28979423
Augustinerchorherrenstift Salzwedel,Point(11.16057 52.8462),http://www.wikidata.org/entity/Q28979475
"Augustinerchorherrenstift auf dem Petersberg, Goslar",Point(10.44629 51.91063),http://www.wikidata.org/entity/Q28979442
"Augustinerchorfrauenstift Derneburg (später Zisterzienserinnen, dann Zisterzienser)",Point(10.13356 52.09541),http://www.wikidata.org/entity/Q28979510
Augustinerchorfrauenstift Salzwedel,Point(11.153565 52.849698),http://www.wikidata.org/entity/Q28979480
Augustinerchorherrenstift Weyarn,Point(11.7964 47.8575),http://www.wikidata.org/entity/Q28978834
Augustinerchorfrauenstift Königshofen an der Heide,Point(10.5381 49.1453),http://www.wikidata.org/entity/Q28978459
"Augustinerchorfrauenstift, München",Point(11.503338 48.157864),http://www.wikidata.org/entity/Q28978602
Augustinerchorherrenstift Neunkirchen am Brand,Point(11.1301 49.6126),http://www.wikidata.org/entity/Q28978624
"Augustinerkloster, München",Point(11.5711 48.1384),http://www.wikidata.org/entity/Q28978575
Ehemaliges Augustinerchorfrauenstiftm jetzt franziskanisches Frauenkloster,Point(10.964165714 49.235051624),http://www.wikidata.org/entity/Q41375114
Augustinereremitenkloster Sternberg,Point(11.83084 53.711198),http://www.wikidata.org/entity/Q15856714
Augustinereremitenkloster Rösrath,Point(7.179311 50.931391),http://www.wikidata.org/entity/Q16319628
"Augustinerchorfrauenstift St. Michael, Paderborn",Point(8.753372 51.720209),http://www.wikidata.org/entity/Q15835126
"Augustinerinnenkloster Waltringhausen, genannt Annenborn",Point(8.287449 51.553621),http://www.wikidata.org/entity/Q15823889
Augustinerchorherrenstift Bernried,Point(11.296132622 47.86640858),http://www.wikidata.org/entity/Q1378122
Ehem. Augustinerinnen-Kloster,Point(12.381509654 48.615579692),http://www.wikidata.org/entity/Q41304699
Ehemaliges Augustinerkloster und Studienseminar;,Point(12.16531 49.68108),http://www.wikidata.org/entity/Q41302459
"Augustinerchorherrenstift St. Maria, Neuss (Oberkloster)",Point(6.69944 51.1933),http://www.wikidata.org/entity/Q2009980
"Augustinereremitenkloster St. Peter, Alzey",Point(8.110796 49.744097),http://www.wikidata.org/entity/Q28978007
Augustinerinnenkloster Essen,Point(6.996278 51.438934),http://www.wikidata.org/entity/Q28977984
Augustinerchorherren-/-doppelstift Fredelsloh,Point(9.79124 51.73614),http://www.wikidata.org/entity/Q28977878
"Augustinerchorherrenstift Bergerkloster/Marienstift, Altenburg",Point(12.437833 50.98475),http://www.wikidata.org/entity/Q28977953
"Augustinerchorfrauenstift Allerheiligen, Frankenthal, dann Augustinerchorherrenstift Kirschgarten",Point(8.357849 49.532604),http://www.wikidata.org/entity/Q28977914
"Augustinerchorherrenstift Hersel, Bornheim",Point(7.04117 50.77067),http://www.wikidata.org/entity/Q28977968
"Augustinereremitenkloster St. Maria Himmelfahrt, Landau",Point(8.115554 49.198651),http://www.wikidata.org/entity/Q28977926
"Augustinerchorherrenpropstei Dirmstein, später Jesuitenresidenz",Point(8.24601 49.56468),http://www.wikidata.org/entity/Q28977909
"Augustinereremitinnenkloster zu der Klingen, Alzey",Point(8.112974 49.746456),http://www.wikidata.org/entity/Q28978010
"Augustinerchorfrauenstift Münster, genannt Lotharingerkloster",Point(7.632648 51.965335),http://www.wikidata.org/entity/Q28977902
Augustinerchorfrauenstift Heidelberg,Point(8.705896 49.4096704),http://www.wikidata.org/entity/Q28976872
Augustinerkloster Heidelberg,Point(8.70638522 49.41082254),http://www.wikidata.org/entity/Q28976860
