brewery,geometry,foundingYear,wikidata-entry
Gasthof zum Engel,Point(10.321647 47.72464),,http://www.wikidata.org/entity/Q15855826
Viktoria-Quartier,Point(13.3814 52.4864),,http://www.wikidata.org/entity/Q2524474
Schussenrieder Brauerei,Point(9.658341 48.004091),,http://www.wikidata.org/entity/Q2800059
Brauerei Schleswig,Point(9.5617 54.5144),,http://www.wikidata.org/entity/Q12302284
Zum Grünen Baum,Point(10.317611111 47.726111111),,http://www.wikidata.org/entity/Q228955
Brauerei zur Stadt Hamburg,Point(10.315342 47.725795),,http://www.wikidata.org/entity/Q15427479
Meierei im Neuen Garten,Point(13.0697 52.4219),,http://www.wikidata.org/entity/Q883074
Bärenquell-Brauerei,Point(13.5065 52.46),,http://www.wikidata.org/entity/Q1019155
Brauerei Alsfeld,Point(9.25984 50.7438),,http://www.wikidata.org/entity/Q15107943
Gasthof Drei Kronen,Point(10.952992724 49.933048011),,http://www.wikidata.org/entity/Q1495495
Altes Brauhaus zu Fallersleben,Point(10.7172 52.4167),,http://www.wikidata.org/entity/Q439166
Altes Brauhaus Rietkötter,Point(7.2195 51.4824),,http://www.wikidata.org/entity/Q439162
Unterhammer (Trippstadt),Point(7.74036 49.3614),,http://www.wikidata.org/entity/Q2497669
Abtei (Marienfeld),Point(8.2808 51.9457),,http://www.wikidata.org/entity/Q2633425
Anderter Brauerei,Point(9.856979 52.363498),,http://www.wikidata.org/entity/Q491736
Lindenbrauerei,Point(7.68528 51.5347),,http://www.wikidata.org/entity/Q1145709
Benediktinerkloster Mallersdorf,Point(12.253666916 48.777601741),,http://www.wikidata.org/entity/Q881136
Schloss Kaltenberg,Point(10.994139557 48.131876483),,http://www.wikidata.org/entity/Q1745170
Haus Luitpoldstraße 14,Point(10.973038028 49.030613677),,http://www.wikidata.org/entity/Q1553374
Brauerei Kesselsdorf,Point(13.593 51.0315),,http://www.wikidata.org/entity/Q900271
Brauerei Lüdde,Point(11.138994 51.788428),,http://www.wikidata.org/entity/Q900306
Klosterbrauerei St. Marienstern,Point(14.2013 51.2327),,http://www.wikidata.org/entity/Q1339794
Altes Brauhaus,Point(10.3103 47.7289),,http://www.wikidata.org/entity/Q439148
Brauerei Rittmayer,Point(10.9828 49.7597),,http://www.wikidata.org/entity/Q900351
Falkenkrug,Point(8.8977 51.932),,http://www.wikidata.org/entity/Q2693970
