monastery,location,wikidata_entry
"Birgittenkloster, zuvor Benediktinerkloster Altomünster",Point(11.2565 48.3886),http://www.wikidata.org/entity/Q881844
Benediktinerkloster Mallersdorf,Point(12.254036111 48.778222222),http://www.wikidata.org/entity/Q881136
Benediktinerkloster Mallersdorf,Point(12.253666916 48.777601741),http://www.wikidata.org/entity/Q881136
"Benediktinerkloster Dionysiuszelle Brachau, Bad Kissingen",Point(10.0891 50.2428),http://www.wikidata.org/entity/Q1708571
Benediktinerkloster Bürgel,Point(11.75 50.935),http://www.wikidata.org/entity/Q1719948
Benediktinerinnenkloster Verchen,Point(12.9044 53.8511),http://www.wikidata.org/entity/Q1720886
Benediktinerkloster Pegau,Point(12.2532 51.1657),http://www.wikidata.org/entity/Q1726733
"Kollegiatstift Ilmmünster, zuvor Benediktiner",Point(11.5019 48.4875),http://www.wikidata.org/entity/Q1775384
Benediktinerinnenkloster Lippoldsberg,Point(9.5575 51.6254),http://www.wikidata.org/entity/Q1775525
Benediktinerinnenkloster Kühbach,Point(11.1829 48.4916),http://www.wikidata.org/entity/Q1775448
Kanonissenstift und Benediktinerkloster Liesborn,Point(8.25963 51.7125),http://www.wikidata.org/entity/Q1775522
Benediktinerkloster Ilsenburg,Point(10.678611111 51.859722222),http://www.wikidata.org/entity/Q1775389
Benediktinerinnenkloster Königsdorf,Point(6.7567 50.9353),http://www.wikidata.org/entity/Q1775446
"Benediktinerkloster Asbach, zunächst Doppelkloster",Point(13.178074575 48.396622774),http://www.wikidata.org/entity/Q1774959
Benediktinerinnenabtei Amtenhausen,Point(8.68426 47.94768),http://www.wikidata.org/entity/Q1774951
"Benediktinerkloster Asbach, zunächst Doppelkloster",Point(13.1778 48.3966),http://www.wikidata.org/entity/Q1774959
"Benediktinerkloster Prüll, später Kartause",Point(12.087332489 49.000420296),http://www.wikidata.org/entity/Q1774057
Benediktiner-Doppelkloster Marienthal,Point(7.20205 53.5994),http://www.wikidata.org/entity/Q1759607
"Benediktinerinnen,- Zisterzienserinnenkloster Sonnenkamp, Neukloster",Point(11.6861 53.8625),http://www.wikidata.org/entity/Q1765077
Benediktinerinnenkloster Arendsee,Point(11.4773 52.8812),http://www.wikidata.org/entity/Q1774958
"Benediktinerpropstei Buchholz, Burgbrohl",Point(7.25601 50.4485),http://www.wikidata.org/entity/Q2113105
Benediktinerinnenkloster Klosterwald,Point(10.2998 47.9728),http://www.wikidata.org/entity/Q2317117
"Kollegiatstift St. Andrä, Freising (zuvor Benediktinerkloster Hugibertsmünster)",Point(11.744 48.399),http://www.wikidata.org/entity/Q2317044
"Benediktinerkloster St. Blasius, Northeim",Point(9.99731 51.7057),http://www.wikidata.org/entity/Q2316013
"Benediktinerpropstei Johannesberg, Fulda",Point(9.66139 50.5236),http://www.wikidata.org/entity/Q2113119
Schottenkloster Würzburg (Benediktiner),Point(9.92047 49.7957),http://www.wikidata.org/entity/Q2249213
Benediktinerkloster Mönchröden,Point(11.0603 50.3011),http://www.wikidata.org/entity/Q1775684
Benediktinerkloster Mönchsdeggingen,Point(10.5841 48.7742),http://www.wikidata.org/entity/Q1775685
Benediktinerinnenkloster Cornberg,Point(9.8645 51.0437),http://www.wikidata.org/entity/Q1775145
Benediktinerkloster Marsberg,Point(8.85222 51.4528),http://www.wikidata.org/entity/Q1345676
"Benediktinerinnenkloster Gertrudenberg, Osnabrück",Point(8.0475 52.2835),http://www.wikidata.org/entity/Q1340364
"Kollegiatstift, später Benediktinerkloster Rastede",Point(8.20189 53.2424),http://www.wikidata.org/entity/Q1373228
"Benediktiner-, später Zisterzienserinnenkloster Mariacron, Oppenheim",Point(8.35521 49.859),http://www.wikidata.org/entity/Q1377858
"Benediktinerkloster, später Augustinerchorfrauenstift Hohenholte",Point(7.46 51.9961),http://www.wikidata.org/entity/Q1321277
"Augustinerchorherren-, später Benediktinerkloster St. Michael, Paring",Point(12.094722222 48.851111111),http://www.wikidata.org/entity/Q1345581
Benediktinerkloster Reichenbach,Point(12.348333333 49.182777777),http://www.wikidata.org/entity/Q1373920
Benediktinerinnenkloster Geisenfeld,Point(11.6135 48.6833),http://www.wikidata.org/entity/Q1332626
"Benediktinerkloster Weih-Sankt-Peter, Regensburg",Point(12.0978 49.0192),http://www.wikidata.org/entity/Q1341947
"Augustinerchorherren-, später Benediktinerkloster St. Michael, Paring",Point(12.094720021 48.850890083),http://www.wikidata.org/entity/Q1345581
Benediktinerkloster Gerode,Point(10.42 51.5219),http://www.wikidata.org/entity/Q1775261
"Benediktinerpropstei, später Zisterzienserinnenkloster Fürstenberg (bei Xanten)",Point(6.47188 51.6507),http://www.wikidata.org/entity/Q1775245
Benediktinerabtei Ettenheimmünster,Point(7.8755 48.2422),http://www.wikidata.org/entity/Q1775206
Benediktinerinnenabtei Gehrden,Point(9.11957 51.654),http://www.wikidata.org/entity/Q1775254
Augustinerchorherrenstift Gars (zuvor Benediktinerkloster),Point(12.2763 48.1565),http://www.wikidata.org/entity/Q1775249
Benediktinerpropstei Frauenberg,Point(9.67074 50.5608),http://www.wikidata.org/entity/Q1775233
Benediktinerkloster Fultenbach,Point(10.5747 48.4898),http://www.wikidata.org/entity/Q1775247
"Benediktiner-, später Zisterzienserinnenkloster Rohrbach bei Oberröblingen",Point(11.2834 51.4396),http://www.wikidata.org/entity/Q1425597
"Kollegiatstift Harsefeld, später Benediktiner",Point(9.50167 53.4539),http://www.wikidata.org/entity/Q1775299
Benediktinerinnenkloster Hadmersleben,Point(11.295031 51.991804),http://www.wikidata.org/entity/Q1775292
Benediktinerabtei Helmarshausen,Point(9.45361 51.6301),http://www.wikidata.org/entity/Q1775329
"Benediktinerkloster, später Augustinerchorherrenstift Herbrechtingen",Point(10.1786 48.6185),http://www.wikidata.org/entity/Q1775332
Benediktinerpropstei Hagenrode,Point(11.1176 51.6552),http://www.wikidata.org/entity/Q1775295
Augustinerinnenkloster Adelheiden bei Hegne (zuvor Benediktinerkloster),Point(9.10202778 47.70847222),http://www.wikidata.org/entity/Q1775307
Benediktinerinnenkloster Hohenwart,Point(11.375802777 48.597405555),http://www.wikidata.org/entity/Q1775367
Augustinerchorherrenstift Öhningen (zuvor möglicherweise Benediktinerkloster),Point(8.88775 47.66154),http://www.wikidata.org/entity/Q1776348
Benediktinerkloster Hillersleben,Point(11.4883 52.2731),http://www.wikidata.org/entity/Q1775348
Benediktinerpriorat Hofen,Point(9.4647 47.65005),http://www.wikidata.org/entity/Q1775360
Benediktinerinnenkloster Hohenwart,Point(11.376154862 48.597116788),http://www.wikidata.org/entity/Q1775367
"Benediktinerkloster St. Peter am Madron (Petersberg), Flintsbach",Point(12.1259 47.7124),http://www.wikidata.org/entity/Q1486721
Benediktinerpriorat Weitenau,Point(7.74094105 47.67074835),http://www.wikidata.org/entity/Q1776265
Benediktinerinnenkloster Arnstadt,Point(10.9468 50.8103),http://www.wikidata.org/entity/Q14528607
Benediktinerinnenkloster,Point(7.59194444 50.34027778),http://www.wikidata.org/entity/Q15107478
Benediktinerabtei Blaubeuren,Point(9.78476 48.4153),http://www.wikidata.org/entity/Q14524097
Benediktinerabtei Wessobrunn,Point(11.026401125 47.876644285),http://www.wikidata.org/entity/Q7984160
Benediktinerinnenkloster Bubenbach,Point(9.8575 51.0295),http://www.wikidata.org/entity/Q1775091
Benediktinerkloster Breitenau (Guxhagen),Point(9.4768 51.2024),http://www.wikidata.org/entity/Q1775085
Benediktinerabtei Bursfelde,Point(9.624722 51.541667),http://www.wikidata.org/entity/Q1775099
Benediktinerkloster Flechtdorf,Point(8.5671 51.73),http://www.wikidata.org/entity/Q1775045
Benediktinerkloster Biburg,Point(11.8566 48.7922),http://www.wikidata.org/entity/Q1775035
Benediktinerkloster Chammünster,Point(12.6941 49.2113),http://www.wikidata.org/entity/Q1775122
Benediktinerkloster Berg im Donaugau,Point(11.23983 48.635),http://www.wikidata.org/entity/Q1775023
"Benediktinerkloster St. Johannis zu Berge, bei Magdeburg",Point(11.6331 52.113),http://www.wikidata.org/entity/Q1775022
