monastery,location,wikidata_entry
"Zisterzienserinnenkloster Marienbrunn, Burbach",Point(6.84037 50.8753),http://www.wikidata.org/entity/Q1554223
Zisterzienserkonvent Birnau,Point(9.21929895 47.74619767),http://www.wikidata.org/entity/Q28977176
Zisterzienserinnenkloster Boos,Point(9.56441615 47.99279723),http://www.wikidata.org/entity/Q28977189
Zisterzienserinnenkloster Maurach,Point(9.22351584 47.74069419),http://www.wikidata.org/entity/Q28977175
"Zisterzienserinnenkloster Heilig Kreuz, Saalburg",Point(11.72633 50.50183),http://www.wikidata.org/entity/Q28976565
Zisterzienserinnenkloster Wöltingerode,Point(10.539444 51.959722),http://www.wikidata.org/entity/Q28976588
Zisterzienserinnenkloster Frauenprießnitz,Point(11.734413665 51.0158549),http://www.wikidata.org/entity/Q28976563
"Zisterzienserinnenkloster Eisenberg, zuvor Triptis",Point(11.89938 50.97238),http://www.wikidata.org/entity/Q28976548
Zisterzienserinnenabtei Gravenhorst,Point(7.62417 52.2872),http://www.wikidata.org/entity/Q1494517
Zisterzienserinnenkloster Kumbd / Klosterkumbd,Point(7.52567 50.0288),http://www.wikidata.org/entity/Q1463411
Zisterzienserinnenkloster Wechterswinkel,Point(10.221076677 50.387639095),http://www.wikidata.org/entity/Q1487733
Zisterzienserabtei Mariental (Vallis s. Mariae),Point(10.9851 52.2759),http://www.wikidata.org/entity/Q1486473
Zisterzienserinnenkloster Wald,Point(9.17299444 47.93761111),http://www.wikidata.org/entity/Q1487626
Zisterzienserinnenkloster Schale,Point(7.62566 52.4465),http://www.wikidata.org/entity/Q1473800
Zisterzienserinnenkloster Rheintal,Point(7.64830664 47.78175318),http://www.wikidata.org/entity/Q28977263
Zisterzienserkloster Eckenweiher,Point(8.86555818 48.95867088),http://www.wikidata.org/entity/Q28977279
"Benediktinerkloster, später Zisterzienserinnenabtei Kirchbach",Point(8.96055188 49.01817924),http://www.wikidata.org/entity/Q28977369
Zisterzienserniederlassung Frauenberg,Point(9.03724404 47.79335049),http://www.wikidata.org/entity/Q28977259
Zisterzienserkloster Neusass,Point(9.52152795 49.32155644),http://www.wikidata.org/entity/Q28977373
Zisterzienserinnenkloster Himmelthron,Point(11.0109 49.5301),http://www.wikidata.org/entity/Q1724295
Zisterzienserinnenkloster Sterkrade,Point(6.849357218 51.516907547),http://www.wikidata.org/entity/Q1696045
Zisterzienserinnenkloster Wiebrechtshausen,Point(10.0178 51.74),http://www.wikidata.org/entity/Q1687056
Zisterzienserinnenkloster Zarrentin,Point(10.9178 53.5542),http://www.wikidata.org/entity/Q1692464
"Zisterzienser-/Benediktinerkloster, später Kartause Güterstein",Point(9.35722 48.4911),http://www.wikidata.org/entity/Q1734516
"Zisterzienserinnenkloster Abbenrode, zuvor Augustinerchorherrenstift",Point(10.6272 51.9303),http://www.wikidata.org/entity/Q1558997
Zisterzienserinnenkloster Benninghausen,Point(8.23989 51.6577),http://www.wikidata.org/entity/Q1565994
Zisterzienserinnenabtei Lichtenstern,Point(9.4092424 49.09896083),http://www.wikidata.org/entity/Q28976729
Zisterzienserinnenkloster Hohebach,Point(9.73203002 49.36168502),http://www.wikidata.org/entity/Q28976732
Zisterzienserinnenkloster Lauterstein,Point(9.04779249 49.17634233),http://www.wikidata.org/entity/Q28976730
"Kollegiatstift, später Zisterzienserinnenabtei Frauenzimmern",Point(9.02665403 49.0696524),http://www.wikidata.org/entity/Q28976717
Zisterzienserabtei Marienfeld,Point(8.28109 51.9465),http://www.wikidata.org/entity/Q1617000
Zisterzienserinnenkloster St. Katharina,Point(11.62869 52.248476),http://www.wikidata.org/entity/Q28977488
"Kollegiatstift Sangerhausen, später Zisterzienserinnenkloster",Point(11.3015 51.474389),http://www.wikidata.org/entity/Q28977439
Zisterzienserinnenkloster Nicolaurieth,Point(11.37258 51.379241),http://www.wikidata.org/entity/Q28977495
"Zisterzienserinnenkloster St. Marien (Graues Kloster), Aschersleben",Point(11.45617 51.7555),http://www.wikidata.org/entity/Q28977490
Zisterzienserinnenkloster Blankenburg,Point(10.95456 51.78771),http://www.wikidata.org/entity/Q28977473
Zisterzienserinnenkloster Wasserleben,Point(10.757891218 51.920848929),http://www.wikidata.org/entity/Q28977541
"Zisterzienserinnenkloster Anrode, zuvor Breitenbich",Point(10.3294 51.2586),http://www.wikidata.org/entity/Q1681615
"Zisterzienserinnenkloster Rinteln, später Benediktinerinnen",Point(9.07796 52.1858),http://www.wikidata.org/entity/Q1679538
"Benediktiner-Doppelkloster, später Zisterzienserinnen Meerhusen",Point(7.49956 53.5159),http://www.wikidata.org/entity/Q1667675
Zisterzienserkloster Haina,Point(8.9765 51.0297),http://www.wikidata.org/entity/Q1686253
Zisterzienserinnenkloster Fröndenberg,Point(7.76583 51.4736),http://www.wikidata.org/entity/Q2348592
"Zisterzienserinnen-, zuvor Benediktinerinnenkloster St. Laurentius, Magdeburg",Point(11.63735 52.14277),http://www.wikidata.org/entity/Q29777434
"Zisterzienserinnenkloster Marienwerder, Seehausen/Uckermark",Point(13.876014 53.206236),http://www.wikidata.org/entity/Q28977801
Zisterzienserinnenkloster Gartz/Oder,Point(14.394411874 53.208463943),http://www.wikidata.org/entity/Q28977776
Zisterzienserinnenkloster Ankuhn-Zerbst,Point(12.08517 51.9675),http://www.wikidata.org/entity/Q28977819
"Zisterzienserinnenkloster Frauenbergskloster Neuwerk, Nordhausen",Point(10.7977 51.497275),http://www.wikidata.org/entity/Q28977871
"Zisterzienserinnenkloster St. Walburga Walberberg, Bornheim",Point(6.910454 50.793587),http://www.wikidata.org/entity/Q28977970
Zisterzienserkloster Wahlshausen/Wilhelmshausen,Point(9.580299968 51.4034653),http://www.wikidata.org/entity/Q28977875
Zisterzienserinnenkloster Marksußra,Point(10.741242 51.287697),http://www.wikidata.org/entity/Q28977939
Zisterzienserinnenkloster Kölleda,Point(11.245885229 51.1866895),http://www.wikidata.org/entity/Q28977867
"Zisterzienserinnenkloster St. Katharinen, Eisenach",Point(10.305667 50.976816),http://www.wikidata.org/entity/Q28977883
Zisterzienserinnenkloster Oberweimar,Point(11.345432 50.965044),http://www.wikidata.org/entity/Q28977872
Zisterzienserinnenkloster Frankenhausen,Point(11.097791 51.354393),http://www.wikidata.org/entity/Q28977886
Zisterzienserinnenkloster Roßleben,Point(11.427972 51.295222),http://www.wikidata.org/entity/Q28977873
Zisterzienserinnenkloster Petersberg bei Eisenberg,Point(11.835685 50.986728),http://www.wikidata.org/entity/Q28977963
Zisterzienserinnenkloster Worbis,Point(10.367332 51.417934),http://www.wikidata.org/entity/Q28977879
Zisterzienserkloster Hamelspringe (geplant),Point(9.407238066 52.195331546),http://www.wikidata.org/entity/Q28977944
Zisterzienserinnenkloster Jena,Point(11.588033 50.929114),http://www.wikidata.org/entity/Q28977866
"Zisterzienserabtei Otterburg, Otterberg",Point(7.773836 49.503102),http://www.wikidata.org/entity/Q28978126
Zisterzienserinnenkloster Niederwerth (zeitweilig Augustinerchorherren),Point(7.613131 50.392677),http://www.wikidata.org/entity/Q28978115
"Benediktiner-, später Zisterzienserinnekloster Mariacron, Oppenheim",Point(8.320833 49.704181),http://www.wikidata.org/entity/Q28978125
"Zisterzienserinnenkloster Paradies, Mauchenheim",Point(8.044864 49.716875),http://www.wikidata.org/entity/Q28978097
Zisterzienserinnenkloster Bachra,Point(11.35 51.19),http://www.wikidata.org/entity/Q15117143
Zisterzienserinnenkloster Aulhausen/Marienhausen,Point(7.895565 49.996022),http://www.wikidata.org/entity/Q15117244
"Zisterzienserinnenkloster Ballhausen, später Großfurra",Point(10.792935 51.38904),http://www.wikidata.org/entity/Q15117201
"Kanonissenstift, später Zisterzienserinnenkloster Worms (Nonnenmünster/Marienmünster)",Point(8.35772 49.62232),http://www.wikidata.org/entity/Q15117245
Zisterzienserinnenkloster Langendorf (Greisslau),Point(11.96365 51.182196),http://www.wikidata.org/entity/Q15114797
Zisterzienserinnenkloster Sion (bei Mauchenheim),Point(8.024514 49.710482),http://www.wikidata.org/entity/Q15117327
"Zisterzienserinnenkloster Marienborn, Weidas (bei Alzey)",Point(8.141 49.735),http://www.wikidata.org/entity/Q15117353
Zisterzienserinnenkloster Gottesthal (Oestrich-Winkel),Point(8.01282 50.0175),http://www.wikidata.org/entity/Q13848287
"Zisterzienserinnenabtei Leeden, später Damenstift",Point(7.884023 52.214137),http://www.wikidata.org/entity/Q28978371
Zisterzienserinnenkloster Bonn Graurheindorf,Point(7.076761 50.764775),http://www.wikidata.org/entity/Q28978313
"Zisterzienserinnenkloster Kentrop, Hamm",Point(7.836111 51.679583),http://www.wikidata.org/entity/Q28978367
Zisterzienserinnenkloster Holthausen,Point(8.543072 51.547536),http://www.wikidata.org/entity/Q28978362
Zisterzienserinnenkloster Bedburg (Erft)-Königshoven,Point(6.5365 51.003),http://www.wikidata.org/entity/Q28978319
"Frauenkloster Heilig Geist, Alzey, später Dominikanerinnen (?), dann Zisterzienserinnen",Point(8.125634 49.745157),http://www.wikidata.org/entity/Q15823909
Zisterzienserinnenkloster Jüterbog,Point(13.073376 51.990968),http://www.wikidata.org/entity/Q28979426
"Zisterzienserinnenkloster Neuwerk, Goslar",Point(10.425528 51.909556),http://www.wikidata.org/entity/Q28979556
