monastery,location,wikidata_entry
Dominikanerinnenkloster Steinheim,Point(9.27853 48.96635),http://www.wikidata.org/entity/Q28833342
Dominikanerkloster Magdeburg (Paulinerkloster),Point(11.6328 52.12714),http://www.wikidata.org/entity/Q24256652
Dominikanerinnen-Klosterkirche St. Peter und Paul,Point(12.17758 48.0078),http://www.wikidata.org/entity/Q41222828
Dominikanerkloster Freiberg,Point(13.34093 50.91955),http://www.wikidata.org/entity/Q99539407
"Dominikanerkloster Mariä Heimsuchung, Marienheide",Point(7.53235 51.08336),http://www.wikidata.org/entity/Q99024187
"Dominikanerinnenkloster St. Barbara, Trier",Point(6.628875 49.74854),http://www.wikidata.org/entity/Q99576007
Dominikanerkloster Cammin,Point(13.403333333 53.974),http://www.wikidata.org/entity/Q56294957
Dominikanerkloster Nörenberg,Point(15.55 53.433333),http://www.wikidata.org/entity/Q56294133
Dominikanerkloster Prenzlau,Point(13.8608965 53.3099163),http://www.wikidata.org/entity/Q56572601
Dominikanerinnenkloster Am Katharinenkloster 6 in Nürnberg (D-5-64-000-85#2),Point(11.081311871 49.451794314),http://www.wikidata.org/entity/Q98630117
Dominikanerinnenkloster Rosenberger Einung Frankfurt,Point(8.68631163 50.11289156),http://www.wikidata.org/entity/Q99745878
"Dominikanerinnenkloster St. Martin auf dem Berge, Trier",Point(6.658737019 49.752477096),http://www.wikidata.org/entity/Q101097448
Terminei der Dominikaner in Treysa (Alsfeld),Point(9.185848576 50.912657478),http://www.wikidata.org/entity/Q101086330
Dominikanerkloster Wesel,Point(6.612953 51.655908),http://www.wikidata.org/entity/Q107761079
Dominikanerkloster Konstanz,Point(9.178338 47.664223),http://www.wikidata.org/entity/Q107761023
Dominikanerkloster Halle,Point(11.964444 51.484167),http://www.wikidata.org/entity/Q107761007
Dominikanerinnenkloster Andernach (Klause St. Peter),Point(7.399146 50.433407),http://www.wikidata.org/entity/Q107760887
Dominikanerkloster Nordhausen,Point(10.792782 51.500874),http://www.wikidata.org/entity/Q107761057
"Dominikanerkloster St. Peter und Paul, Speyer",Point(8.436467 49.317921),http://www.wikidata.org/entity/Q107761074
Dominikanerkloster Pirna,Point(13.939 50.96342),http://www.wikidata.org/entity/Q107761069
"Dominikanerinnenkloster St. Martin, vorher Godebertsklösterchen, Koblenz",Point(7.596026 50.360063),http://www.wikidata.org/entity/Q107760946
Dominikanerkloster Eisenach,Point(10.3167282 50.9747533),http://www.wikidata.org/entity/Q107760993
Dominikanerkloster Marburg,Point(8.771780567 50.80836789),http://www.wikidata.org/entity/Q107761038
Dominikanerkloster Kalkar,Point(6.29401648 51.740602213),http://www.wikidata.org/entity/Q107761016
Dominikanerinnenkloster Barby,Point(11.885333333 51.967833333),http://www.wikidata.org/entity/Q107760894
Dominikanerkloster Mühlhausen,Point(10.461931 51.209761),http://www.wikidata.org/entity/Q107761049
Dominikanerkloster Leutenberg,Point(11.455 50.5585),http://www.wikidata.org/entity/Q107761031
Dominikanerkloster Pasewalk,Point(13.98724 53.50625),http://www.wikidata.org/entity/Q107761065
Dominikanerkloster Treysa,Point(9.185907591 50.9125894),http://www.wikidata.org/entity/Q107761077
Dominikanerinnenkloster Wiederstedt,Point(11.529778 51.666767),http://www.wikidata.org/entity/Q107760965
"Dominikanerinnenkloster St. Markus, Würzburg",Point(9.927648976 49.797705209),http://www.wikidata.org/entity/Q107760944
Dominikanerinnenkloster Heilig Grab,Point(10.895226281 49.900913223),http://www.wikidata.org/entity/Q41427253
"Ehemals Dominikanerkloster, Kirche Beatae Mariae Virginis und St. Christoph",Point(10.88545 49.89177),http://www.wikidata.org/entity/Q41425962
Dominikanerkloster Erfurt,Point(11.029167 50.976667),http://www.wikidata.org/entity/Q50843943
Dominikanerkloster Jena,Point(11.584857 50.927851),http://www.wikidata.org/entity/Q61907271
"Dominikanerkloster St. Blasius, Regensburg",Point(12.0908 49.0181),http://www.wikidata.org/entity/Q97773968
Klosterökonomie Dominikanerplatz 2 in Würzburg (D-6-63-000-100#1),Point(9.932437092 49.796188334),http://www.wikidata.org/entity/Q98487100
Klostergebäude Dominikanerinnenstraße 2 in Pettendorf (D-3-75-181-6#1),Point(12.016091023 49.042855387),http://www.wikidata.org/entity/Q98682249
Klostermauer Dominikanerinnenstraße 2; Dominikanerinnenstraße 3; Nähe Dominikanerinnenstraße in Pettendorf (D-3-75-181-6#4),Point(12.016215736 49.04282116),http://www.wikidata.org/entity/Q98682257
