place_name,feature_type,latitude,longitude
Mississippi River and area,L,45.3,-93.77611
Missouri River,H,38.8136,-90.1198
Moch-a-weam-ing,,42.91679,-81.41646
Mohawk River,H,42.76091,-73.68706
Mohawk town,,43.13391,-80.23158
Mombaccus,,41.81509,-74.31154
Monocacy Creek,H,40.25982,-75.76519
Monocacy River,H,39.22288,-77.45415
Monongahela,,40.20313,-79.92616
Monongahela River,H,40.44174,-80.01616
Montgomery County,,40.21083,-75.3673
Montmirail,,47.01654,7.02622
Montreal,,45.50884,-73.58781
Mooch-han-nook,,42.91679,-81.41646
Moravia,,35.11922,-99.51009
Morgantown,,39.62953,-79.9559
Morristown,,40.42511,-74.25376
Morristown,,40.06313,-81.07427
Moscow,,55.75222,37.61556
Mount Joy,,40.10982,-76.5033
Mount Pleasant,,40.17535,-80.79786
Mount Rock,,40.16064,-77.31721
Muddy Creek,H,46.41684,-63.94873
Muncey,,42.82132,-81.44094
Muncie,,40.19338,-85.38636
Musconetcong,,40.59232,-75.18879
Muskingum,,39.41619,-81.45818
Muskingum Camp,,39.96542,-81.94438
Muskingum River,H,39.40924,-81.45623
Muskingum River and Country,H,39.40924,-81.45623
Nanticoke,,41.20536,-76.00492
Nanticoke Town,,41.20536,-76.00492
Nanticoke Town,,42.80011,-80.06635
Nazareth,,40.74038,-75.30962
Nazareth Hall,,45.03913,-93.16911
Nescopeck,,41.05203,-76.22077
Neshaminy,,40.22955,-75.13878
Neuwied,,50.4336,7.47057
New Connecticut,,42.27313,-76.14798
New England,,53.05006,-105.40102
New Fairfield,,41.46648,-73.48568
New Fairfield,,39.50699,-84.97246
New France,,44.31685,-65.76714
New Hampshire,,43.66702,-71.4998
New Haven,,41.30815,-72.92816
New London,,41.35565,-72.09952
New London County,,41.46678,-72.1065
New Milford,,41.57704,-73.40845
New Orleans,,29.95465,-90.07507
New Philadelphia,,40.48979,-81.44567
New River,H,38.16177,-81.1965
New Salem,,45.42341,-64.78989
New York,,40.71427,-74.00597
New York City,,40.71427,-74.00597
Newark,,42.97449,-80.68678
Newark on Niagara River,H,43.26681,-79.04957
Newcomerstown,,40.27229,-81.60595
Newell,,40.07563,-79.8981
Newfoundland,,48.56476,-55.77879
Newtown,,41.41398,-73.30345
Newtown,,42.53895,-78.95698
Niagara Falls,H,43.08342,-79.06627
Niagara-on-the-Lake,,43.25655,-79.08527
North Bend,,39.15256,-84.748
North Branch,,43.31403,-74.79364
North Branch,,40.60205,-74.67738
North Carolina,,35.50069,-80.00032
Northampton County,,40.75423,-75.30742
Northumberland,,40.89175,-76.79747
Nova Scotia,,45.00015,-62.99865
Oblong,,39.00199,-87.90892
Ohio,,40.25034,-83.00018
Ohio River,H,45.55015,-62.08189
Oil Creek,H,41.43173,-79.70922
Oil Creek,H,42.16979,-78.38891
Okak,,57.55025,-61.96477
Old Beaver Dam,,44.41047,-112.19721
